"EventID","OrganismCode","ForkLength","TotalLength","Weight","Sex","Expression","MarkCode","RaceByLength","StageCode","Dead","CWTSample","GeneticSample","FishGenID","Count","Plus Count","FishIDComments","SampleID","PlusCount","OrganismID"
10298,"LMB",34,NA,NA,NA,NA,NA,NA,NA,"No",FALSE,FALSE,NA,1,FALSE,NA,"20230718_0715_AL1_LMB","FALSE","2023_LMB1"
10298,"LP",59,NA,NA,NA,NA,NA,NA,NA,"No",FALSE,FALSE,NA,1,FALSE,NA,"20230718_0715_AL1_LP","FALSE","2023_LP1"
10298,"MSS",38,NA,NA,NA,NA,NA,NA,NA,"No",FALSE,FALSE,NA,1,FALSE,NA,"20230718_0715_AL1_MSS","FALSE","2023_MSS1"
10298,"MSS",42,NA,NA,NA,NA,NA,NA,NA,"No",FALSE,FALSE,NA,1,FALSE,NA,"20230718_0715_AL1_MSS","FALSE","2023_MSS2"
10298,"MSS",50,NA,NA,NA,NA,NA,NA,NA,"No",FALSE,FALSE,NA,1,FALSE,NA,"20230718_0715_AL1_MSS","FALSE","2023_MSS3"
10298,"LMB",65,NA,NA,NA,NA,NA,NA,NA,"No",FALSE,FALSE,NA,1,FALSE,NA,"20230718_0715_AL1_LMB","FALSE","2023_LMB2"
10298,"MSS",48,NA,NA,NA,NA,NA,NA,NA,"No",FALSE,FALSE,NA,1,FALSE,NA,"20230718_0715_AL1_MSS","FALSE","2023_MSS4"
10298,"LP",69,NA,NA,NA,NA,NA,NA,NA,"No",FALSE,FALSE,NA,1,FALSE,NA,"20230718_0715_AL1_LP","FALSE","2023_LP2"
10298,"MSS",40,NA,NA,NA,NA,NA,NA,NA,"No",FALSE,FALSE,NA,1,FALSE,NA,"20230718_0715_AL1_MSS","FALSE","2023_MSS5"
10298,"RES",108,NA,NA,NA,NA,NA,NA,NA,"No",FALSE,FALSE,NA,1,FALSE,NA,"20230718_0715_AL1_RES","FALSE","2023_RES1"
10298,"LP",70,NA,NA,NA,NA,NA,NA,NA,"No",FALSE,FALSE,NA,1,FALSE,NA,"20230718_0715_AL1_LP","FALSE","2023_LP3"
10298,"LP",70,NA,NA,NA,NA,NA,NA,NA,"No",FALSE,FALSE,NA,1,FALSE,NA,"20230718_0715_AL1_LP","FALSE","2023_LP4"
10298,"LP",53,NA,NA,NA,NA,NA,NA,NA,"No",FALSE,FALSE,NA,1,FALSE,NA,"20230718_0715_AL1_LP","FALSE","2023_LP5"
10298,"LP",52,NA,NA,NA,NA,NA,NA,NA,"No",FALSE,FALSE,NA,1,FALSE,NA,"20230718_0715_AL1_LP","FALSE","2023_LP6"
10298,"LP",65,NA,NA,NA,NA,NA,NA,NA,"No",FALSE,FALSE,NA,1,FALSE,NA,"20230718_0715_AL1_LP","FALSE","2023_LP7"
10298,"LMB",71,NA,NA,NA,NA,NA,NA,NA,"No",FALSE,FALSE,NA,1,FALSE,NA,"20230718_0715_AL1_LMB","FALSE","2023_LMB3"
10298,"MSS",43,NA,NA,NA,NA,NA,NA,NA,"No",FALSE,FALSE,NA,1,FALSE,NA,"20230718_0715_AL1_MSS","FALSE","2023_MSS6"
10298,"SPLT",59,NA,NA,NA,NA,NA,NA,NA,"No",FALSE,FALSE,NA,1,FALSE,NA,"20230718_0715_AL1_SPLT","FALSE","2023_SPLT1"
10298,"MSS",NA,NA,NA,NA,NA,NA,NA,NA,"No",FALSE,FALSE,NA,5,TRUE,NA,"20230718_0715_AL1_MSS",NA,NA
10298,"MSS",36,NA,NA,NA,NA,NA,NA,NA,"No",FALSE,FALSE,NA,1,FALSE,NA,"20230718_0715_AL1_MSS","FALSE","2023_MSS8"
10298,"MSS",43,NA,NA,NA,NA,NA,NA,NA,"No",FALSE,FALSE,NA,1,FALSE,NA,"20230718_0715_AL1_MSS","FALSE","2023_MSS9"
10298,"MSS",41,NA,NA,NA,NA,NA,NA,NA,"No",FALSE,FALSE,NA,1,FALSE,NA,"20230718_0715_AL1_MSS","FALSE","2023_MSS10"
10298,"MSS",44,NA,NA,NA,NA,NA,NA,NA,"No",FALSE,FALSE,NA,1,FALSE,NA,"20230718_0715_AL1_MSS","FALSE","2023_MSS11"
10298,"MSS",55,NA,NA,NA,NA,NA,NA,NA,"No",FALSE,FALSE,NA,1,FALSE,NA,"20230718_0715_AL1_MSS","FALSE","2023_MSS12"
10298,"MSS",44,NA,NA,NA,NA,NA,NA,NA,"No",FALSE,FALSE,NA,1,FALSE,NA,"20230718_0715_AL1_MSS","FALSE","2023_MSS13"
10298,"MSS",55,NA,NA,NA,NA,NA,NA,NA,"No",FALSE,FALSE,NA,1,FALSE,NA,"20230718_0715_AL1_MSS","FALSE","2023_MSS14"
10298,"MSS",33,NA,NA,NA,NA,NA,NA,NA,"No",FALSE,FALSE,NA,1,FALSE,NA,"20230718_0715_AL1_MSS","FALSE","2023_MSS15"
10298,"MSS",38,NA,NA,NA,NA,NA,NA,NA,"No",FALSE,FALSE,NA,1,FALSE,NA,"20230718_0715_AL1_MSS","FALSE","2023_MSS16"
